TradeStatus,Trade Id,Product Type,Put/Call,Buy/Sell,Prim Cur,Sec Cur,Prim Amt,Sec Amt,FX Spot Rate,FXFwdRate,Trade Booking Date,Trade Settle Date,Maturity Date,FX Prim Amount,FX Sec Amount,FX Near AllIn Rate,FX Far Sec Amount,FX Far Prim Amount,FX Far AllIn Rate,Maturity Year,Book Legal Entity,Book,TRADE_KEYWORD.EADS_STRATEGY,CounterParty,CounterParty.Attribute.EADS_Sector,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,TRADE_KEYWORD.EADS_EXPOSURE,Pricer.NPV,Premium Amount,Premium Currency,Premium Date,Strike,Barrier.Down Rate,Barrier.Up Rate,Market Rate,TRADE_KEYWORD.EADS_MDRT_REF,Mirror Book,Mirror Trade Id,ClientPricer.FWD_DELTA,ClientPricer.INTRINSIC_VALUE
VERIFIED,557461,FXForward,,Sell,EUR,USD,-30175438.60,43000000.00,1.30,1.43,27/06/2013,02/05/2022,02/05/2022,-30175438.60,43000000.00,1.43,,,,22,EADSNV,NV_MICRO,EZY JUNE 2013,BARC_GB_LON,BANKS,,BARC_GB_LON,FIRM,9414357.43,,,,,,,1.43,201306271642,,0,30175438.60,0.00
VERIFIED,1145194,FXForward,,Sell,EUR,GBP,-3192000.00,2527744.80,0.72,0.79,08/07/2015,25/01/2023,25/01/2023,-3192000.00,2527744.80,0.79,,,,23,EADSNV,NV_MICRO,F72362,BARC_GB_LON,BANKS,,BARC_GB_LON,FIRM,-173573.10,,,,,,,0.72,2855-25008-WP,,0,3192000.00,0.00
VERIFIED,1490247,FXForward,,Sell,EUR,USD,-30292356.46,43000000.00,1.30,1.42,14/09/2016,02/05/2022,02/05/2022,-30292356.46,43000000.00,1.42,,,,22,EADSNV,NV_MICRO,EZY JUNE 2013,UBSA_GB_LON,BANKS,UBSW_CH_ZRH,UBSW_CH_ZRH,FIRM,9284390.74,,,,,,,1.43,201306271641,,0,30292356.46,0.00
VERIFIED,1567850,FXForward,,Buy,EUR,USD,2510040.16,-3000000.00,1.04,1.20,28/12/2016,01/04/2022,01/04/2022,2510040.16,-3000000.00,1.20,,,,22,EADSNV,NV_MICRO,TC2016,BOTK_GB_LON,BANKS,BOTK_JP_TYO,BOTK_JP_TYO,FIRM,-209974.50,,,,,,,1.19,201612281541,,0,-2510040.16,0.00
VERIFIED,1561596,FXForward,,Buy,EUR,USD,835491.69,-1000000.00,1.04,1.20,19/12/2016,11/03/2022,11/03/2022,835491.69,-1000000.00,1.20,,,,22,EADSNV,NV_MICRO,TC2016 - Alestis Close out,SMBC_DE_DUS,BANKS,SMBC_JP_TYO,SMBC_JP_TYO,FIRM,-72014.29,,,,,,,1.19,201612191655,,0,-835491.69,0.00
VERIFIED,1572403,FXForward,,Sell,EUR,USD,-2410152.28,2880614.00,1.05,1.20,04/01/2017,28/06/2022,28/06/2022,-2410152.28,2880614.00,1.20,,,,22,EADSNV,NV_MICRO,CANADA,RBOS_GB_LON,BANKS,,RBOS_GB_LON,FIRM,192213.64,,,,,,,1.19,1455-35106-WP,,0,2410152.28,0.00
VERIFIED,1639330,FXForward,,Buy,EUR,USD,166960.94,-200000.00,1.06,1.20,10/04/2017,03/05/2022,03/05/2022,166960.94,-200000.00,1.20,,,,22,EADSNV,NV_MICRO,CASHFLOWHEDGE,BYLA_DE_MUC,BANKS,,BYLA_DE_MUC,FIRM,-14201.35,,,,,,,0.00,201704101549,,0,-166960.94,0.00
VERIFIED,1637252,FXForward,,Buy,GBP,USD,3733572.28,-5000000.00,1.25,1.34,06/04/2017,01/04/2022,01/04/2022,3733572.28,-5000000.00,1.34,,,,22,EADSNV,NV_MICRO,TC2017,LBBW_DE_STR,BANKS,,LBBW_DE_STR,FIRM,-23757.74,,,,,,,1.25,201706041700,,0,-3733572.28,0.00
VERIFIED,1668999,FXForward,,Buy,EUR,USD,2406545.80,-3000000.00,1.12,1.25,22/05/2017,01/06/2022,01/06/2022,2406545.80,-3000000.00,1.25,,,,22,EADSNV,NV_MICRO,TC2017,BOTK_GB_LON,BANKS,BOTK_JP_TYO,BOTK_JP_TYO,FIRM,-318656.13,,,,,,,1.25,201705221112,,0,-2406545.80,0.00
VERIFIED,1716305,FXForward,,Buy,EUR,USD,1540891.41,-2000000.00,1.17,1.30,28/07/2017,01/06/2022,01/06/2022,1540891.41,-2000000.00,1.30,,,,22,EADSNV,NV_MICRO,TC2017,CMCI_FR_PAR,BANKS,BFCM_FR_PAR,CMCI_FR_PAR,FIRM,-283020.08,,,,,,,1.30,201707281134,,0,-1540891.41,0.00
VERIFIED,1713085,FXForward,,Buy,EUR,USD,19370835.27,-25000000.00,1.17,1.29,25/07/2017,03/05/2022,03/05/2022,19370835.27,-25000000.00,1.29,,,,22,EADSNV,NV_MICRO,TC2017,CITI_GB_LON,BANKS,CITI_US_NYC,CITI_US_NYC,FIRM,-3441789.58,,,,,,,1.29,201707251355,,0,-19370835.27,0.00
VERIFIED,1691782,FXForward,,Buy,EUR,USD,2404231.45,-3000000.00,1.12,1.25,23/06/2017,01/07/2022,01/07/2022,2404231.45,-3000000.00,1.25,,,,22,EADSNV,NV_MICRO,TC2017,ROYC_GB_LON,BANKS,ROYC_CA_TOR,ROYC_CA_TOR,FIRM,-317505.93,,,,,,,1.24,201706230904,,0,-2404231.45,0.00
VERIFIED,1728364,FXForward,,Buy,EUR,USD,2309033.32,-3000000.00,1.17,1.30,16/08/2017,01/06/2022,01/06/2022,2309033.32,-3000000.00,1.30,,,,22,EADSNV,NV_MICRO,TC2017,BYLA_DE_MUC,BANKS,,BYLA_DE_MUC,FIRM,-427091.97,,,,,,,0.00,201708161011,,0,-2309033.32,0.00
VERIFIED,1777417,FXForward,,Buy,GBP,USD,3581405.34,-5000000.00,1.31,1.40,27/10/2017,04/01/2023,04/01/2023,3581405.34,-5000000.00,1.40,,,,23,EADSNV,NV_MICRO,TC2017,BOTK_GB_LON,BANKS,BOTK_JP_TYO,BOTK_JP_TYO,FIRM,-230377.63,,,,,,,0.00,201710281148,,0,-3581405.34,0.00
VERIFIED,1785950,FXForward,,Buy,GBP,USD,3584743.33,-5000000.00,1.31,1.39,09/11/2017,04/01/2023,04/01/2023,3584743.33,-5000000.00,1.39,,,,23,EADSNV,NV_MICRO,TC2017,BOTK_GB_LON,BANKS,BOTK_JP_TYO,BOTK_JP_TYO,FIRM,-225977.82,,,,,,,0.00,201711091131,,0,-3584743.33,0.00
VERIFIED,1789923,FXForward,,Buy,EUR,USD,26664635.08,-35000000.00,1.17,1.31,14/11/2017,01/07/2022,01/07/2022,26664635.08,-35000000.00,1.31,,,,22,EADSNV,NV_MICRO,TC2017,BNPA_FR_PAR,BANKS,,BNPA_FR_PAR,FIRM,-5244755.55,,,,,,,0.00,201711141131,,0,-26664635.08,0.00
VERIFIED,1918478,FXForward,,Buy,EUR,USD,22586959.80,-30000000.00,1.18,1.33,18/05/2018,03/05/2022,03/05/2022,22586959.80,-30000000.00,1.33,,,,22,EADSNV,NV_MICRO,TC2018,MHCB_GB_LON,BANKS,MHCB_JP_TYO,MHCB_JP_TYO,FIRM,-4861635.93,,,,,,,0.00,201805181231,,0,-22586959.80,0.00
VERIFIED,1925330,FXForward,,Buy,EUR,USD,15384615.38,-20000000.00,1.16,1.30,30/05/2018,01/04/2022,01/04/2022,15384615.38,-20000000.00,1.30,,,,22,EADSNV,NV_MICRO,TC2018,BNPA_FR_PAR,BANKS,,BNPA_FR_PAR,FIRM,-2898979.92,,,,,,,0.00,201805311638,,0,-15384615.38,0.00
VERIFIED,1972264,FXForward,,Buy,EUR,USD,15850252.85,-21000000.00,1.16,1.32,03/08/2018,03/01/2023,03/01/2023,15850252.85,-21000000.00,1.32,,,,23,EADSNV,NV_MICRO,TC2018,HSBC_FR_PAR,BANKS,HSBC_GB_LON,HSBC_FR_PAR,FIRM,-3122764.63,,,,,,,0.00,201808031432,,0,-15850252.85,0.00
VERIFIED,1940120,FXForward,,Buy,EUR,USD,1369860.93,-1800000.00,1.16,1.31,20/06/2018,01/09/2022,01/09/2022,1369860.93,-1800000.00,1.31,,,,22,EADSNV,NV_MICRO,CASHFLOWHEDGE,BYLA_DE_MUC,BANKS,,BYLA_DE_MUC,FIRM,-266605.37,,,,,,,0.00,201806201149,,0,-1369860.93,0.00
VERIFIED,1977423,FXForward,,Buy,EUR,USD,26194144.84,-34000000.00,1.14,1.30,13/08/2018,01/02/2023,01/02/2023,26194144.84,-34000000.00,1.30,,,,23,EADSNV,NV_MICRO,TC2018,COBA_DE_FRA,BANKS,,COBA_DE_FRA,FIRM,-4408997.30,,,,,,,0.00,201808131618,,0,-26194144.84,0.00
VERIFIED,1998897,FXForward,,Buy,EUR,USD,2275830.68,-3000000.00,1.16,1.32,11/09/2018,04/01/2023,04/01/2023,2275830.68,-3000000.00,1.32,,,,23,EADSNV,NV_MICRO,TC2018,SBOS_GB_LON,BANKS,SBOS_US_NYC,SBOS_US_NYC,FIRM,-433085.34,,,,,,,0.00,2018091531,,0,-2275830.68,0.00
VERIFIED,2050151,FXForward,,Buy,EUR,USD,18710532.47,-24000000.00,1.12,1.28,13/11/2018,04/01/2023,04/01/2023,18710532.47,-24000000.00,1.28,,,,23,EADSNV,NV_MICRO,TC2018,CTBA_GB_LON,BANKS,CTBA_AU_SYD,CTBA_AU_SYD,FIRM,-2902852.01,,,,,,,0.00,201811131033,,0,-18710532.47,0.00
VERIFIED,2055332,FXForward,,Buy,EUR,USD,19471769.83,-25000000.00,1.14,1.28,20/11/2018,01/09/2022,01/09/2022,19471769.83,-25000000.00,1.28,,,,22,EADSNV,NV_MICRO,TC2018,CTBA_GB_LON,BANKS,CTBA_AU_SYD,CTBA_AU_SYD,FIRM,-3206388.11,,,,,,,0.00,201811201446,,0,-19471769.83,0.00
