Trade Id,Trade Type,Product Type,Book Legal Entity,Book,CounterParty,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,CounterParty.Attribute.EADS_Sector,Pay Leg Principal,Pay Leg Principal Ccy,Rcv Leg Principal,Rcv Leg Principal Ccy,Trade Booking Date,Trade Settle Date,Maturity Date,Pay Leg Type,Rcv Leg Type,Pay Leg Fixed Rate,Pay Leg Floating Rate,Pay Leg DayCount,Rate Index,Rate Index Tenor,Rcv Leg Floating Rate,Rcv Leg Fixed Rate,Rcv Leg DayCount,Rate Index Spread,Pricer.ACCRUAL_PAYLEG,Pricer.ACCRUAL_RECLEG,TradeStatus,Pricer.NPV,Pay Leg Compound Type,Pay Leg Index Frequency,Pay Leg Payment Bus Day Calendar,Pay Leg Payment Bus Day Convention,Pay Leg Payment Frequency,Prin Sched Type,Rcv Leg Compound Type,Rcv Leg Fixing Convention,Rcv Leg Payment Bus Day Calendar,Rcv Leg Payment Bus Day Convention,Rcv Leg Payment Frequency
3065793,Buy,Swap,EADSNV,NV_LIABEXT,MSSE_DE_FRA,MSCS_US_NYC,MSSE_DE_FRA,BANKS,100000000.00,USD,100000000.00,USD,21/11/2017,22/11/2017,10/10/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.34,30/360,0.00,-32766.08,922211.11,VERIFIED,4026074.02,NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
1421305,Buy,Swap,EADSNV,NV_LIABEXT,MFIL_GB_LON,MFIL_JP_TYO,BOTK_JP_TYO,BANKS,100000000.00,EUR,100000000.00,EUR,12/05/2016,13/05/2016,13/05/2026,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.39,ACTB/ACTB,0.00,23466.67,313469.86,VERIFIED,940634.14,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1391434,Buy,Swap,EADSNV,NV_LIABEXT,ROYC_GB_LON,ROYC_CA_TOR,ROYC_CA_TOR,BANKS,100000000.00,EUR,100000000.00,EUR,11/05/2016,13/05/2016,13/05/2026,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.36,ACTB/ACTB,0.00,23466.67,288986.30,VERIFIED,788453.08,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1273145,Buy,Swap,EADSNV,NV_LIABEXT,INGB_NL_AMS,,INGB_NL_AMS,BANKS,200000000.00,EUR,200000000.00,EUR,24/06/2015,02/07/2015,02/04/2024,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.98,ACTB/ACTB,0.00,184633.33,1794449.32,VERIFIED,6269623.28,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1129726,Buy,Swap,EADSNV,NV_LIABEXT,BSUI_FR_PAR,AGRI_FR_PAR,BSUI_FR_PAR,BANKS,100000000.00,EUR,100000000.00,EUR,19/06/2015,23/06/2015,29/10/2029,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.29,ACTB/ACTB,0.00,45583.33,438246.58,VERIFIED,6591140.38,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1135097,Buy,Swap,EADSNV,NV_LIABEXT,BSCH_ES_MAD,,BSCH_ES_MAD,BANKS,100000000.00,EUR,100000000.00,EUR,25/06/2015,02/07/2015,02/04/2024,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.97,ACTB/ACTB,0.00,92316.67,890361.64,VERIFIED,3112275.31,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1007748,Buy,Swap,EADSNV,NV_MICRO,RVSA_AT_SZG,,RVSA_AT_SZG,,1060351.83,EUR,1060351.83,EUR,20/01/2015,20/01/2015,30/11/2022,Fixed,Float,1.74,,30/360,EURIBOR,3M,EUR/EURIBOR/3M/EURIBOR01,,ACT/360,0.00,-4701.48,-31.22,VERIFIED,-22111.96,NO_COMPOUND,,[TARGET],MOD_FOLLOW,PA,Bullet,NO_COMPOUND,Bus,[TARGET],MOD_FOLLOW,QTR
1795349,Buy,Swap,EADSNV,NV_LIABEXT,CITI_GB_LON,CITI_US_NYC,CITI_US_NYC,BANKS,150000000.00,USD,150000000.00,USD,22/11/2017,22/11/2017,10/10/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.34,30/360,0.00,-49149.13,1384500.00,VERIFIED,6056288.14,NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
1652370,Buy,Swap,EADSNV,NV_LIABEXT,GENO_DE_FRA,,GENO_DE_FRA,BANKS,100000000.00,USD,100000000.00,USD,26/04/2017,28/04/2017,10/04/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.27,30/360,0.00,-32766.08,896572.22,VERIFIED,3491979.24,NO_COMPOUND,3M,[NYC],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[NYC],FOLLOWING,SA
3201175,Buy,Swap,EADSNV,NV_LIABEXT,INGB_NL_AMS,,INGB_NL_AMS,BANKS,100000000.00,EUR,100000000.00,EUR,01/06/2021,03/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.38,ACTB/ACTB,2.24,-249435.00,1769863.01,VERIFIED,-3723923.46,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
