Trade Id,Trade Type,Product Type,Book Legal Entity,Book,CounterParty,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,CounterParty.Attribute.EADS_Sector,Pay Leg Principal,Pay Leg Principal Ccy,Rcv Leg Principal,Rcv Leg Principal Ccy,Trade Booking Date,Trade Settle Date,Maturity Date,Pay Leg Type,Rcv Leg Type,Pay Leg Fixed Rate,Pay Leg Floating Rate,Pay Leg DayCount,Rate Index,Rate Index Tenor,Rcv Leg Floating Rate,Rcv Leg Fixed Rate,Rcv Leg DayCount,Rate Index Spread,Pricer.ACCRUAL_PAYLEG,Pricer.ACCRUAL_RECLEG,TradeStatus,Pricer.NPV,Pay Leg Compound Type,Pay Leg Index Frequency,Pay Leg Payment Bus Day Calendar,Pay Leg Payment Bus Day Convention,Pay Leg Payment Frequency,Prin Sched Type,Rcv Leg Compound Type,Rcv Leg Fixing Convention,Rcv Leg Payment Bus Day Calendar,Rcv Leg Payment Bus Day Convention,Rcv Leg Payment Frequency
3201175,Buy,Swap,EADSNV,NV_LIABEXT,INGB_NL_AMS,,INGB_NL_AMS,BANKS,"100,000,000",EUR,"100,000,000",EUR,01/06/2021,03/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.238900,"(244,815.83)","1,763,356.16",VERIFIED,"(4,230,191.21)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201183,Buy,Swap,EADSNV,NV_LIABEXT,GSIL_FR_PAR,GSIL_GB_LON,GSIL_GB_LON,,"50,000,000",EUR,"50,000,000",EUR,01/06/2021,03/06/2021,07/04/2028,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.000000,ACTB/ACTB,2.146000,"(115,569.44)","742,465.75",VERIFIED,"(1,166,462.63)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201178,Buy,Swap,EADSNV,NV_LIABEXT,BYLA_DE_MUC,,BYLA_DE_MUC,BANKS,"100,000,000",EUR,"100,000,000",EUR,01/06/2021,03/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.232000,"(243,800.00)","1,763,356.16",VERIFIED,"(4,160,040.73)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3199113,Buy,Swap,EADSNV,NV_LIABEXT,NATX_FR_PAR,BPCE_FR_PAR,NATX_FR_PAR,BANKS,"100,000,000",EUR,"100,000,000",EUR,28/05/2021,09/06/2021,09/06/2030,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.625000,ACTB/ACTB,1.598000,"(235,294.44)","1,179,794.52",VERIFIED,"(3,671,112.74)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3234351,Buy,Swap,EADSNV,NV_LIABEXT,ROYC_FR_PAR,ROYC_CA_TOR,ROYC_CA_TOR,,"50,000,000",EUR,"50,000,000",EUR,02/07/2021,06/07/2021,09/06/2040,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,1.954000,"(158,191.67)","774,315.07",VERIFIED,"(3,447,810.80)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201179,Buy,Swap,EADSNV,NV_LIABEXT,HYVE_DE_MUC,,HYVE_DE_MUC,BANKS,"100,000,000",EUR,"100,000,000",EUR,01/06/2021,03/06/2021,07/04/2032,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.375000,ACTB/ACTB,2.243500,"(245,493.06)","1,763,356.16",VERIFIED,"(4,276,958.20)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1007753,Buy,Swap,EADSNV,NV_MICRO,1755,BU_HQ,EADSNV,,"1,060,351.83",EUR,"1,060,351.83",EUR,20/01/2015,20/01/2015,30/11/2022,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.735000,30/360,0.000000,15.61,"4,650.38",VERIFIED,"21,860.45",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],MOD_FOLLOW,PA
1007748,Buy,Swap,EADSNV,NV_MICRO,RVSA_AT_SZG,,RVSA_AT_SZG,,"1,060,351.83",EUR,"1,060,351.83",EUR,20/01/2015,20/01/2015,30/11/2022,Fixed,Float,1.735000,,30/360,EURIBOR,3M,EUR/EURIBOR/3M/EURIBOR01,,ACT/360,0.000000,"(4,650.38)",(15.61),VERIFIED,"(21,862.65)",NO_COMPOUND,,[TARGET],MOD_FOLLOW,PA,Bullet,NO_COMPOUND,Bus,[TARGET],MOD_FOLLOW,QTR
1795349,Buy,Swap,EADSNV,NV_LIABEXT,CITI_GB_LON,CITI_US_NYC,CITI_US_NYC,BANKS,"150,000,000",USD,"150,000,000",USD,22/11/2017,22/11/2017,10/10/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.340000,30/360,0.000000,"(48,185.42)","1,374,750.00",VERIFIED,"6,383,764.33",NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
3065793,Buy,Swap,EADSNV,NV_LIABEXT,MSSE_DE_FRA,MSCS_US_NYC,MSSE_DE_FRA,,"100,000,000",USD,"100,000,000",USD,21/11/2017,22/11/2017,10/10/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.338000,30/360,0.000000,"(32,123.61)","915,716.67",VERIFIED,"4,244,382.14",NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
1652370,Buy,Swap,EADSNV,NV_LIABEXT,GENO_DE_FRA,,GENO_DE_FRA,BANKS,"100,000,000",USD,"100,000,000",USD,26/04/2017,28/04/2017,10/04/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.273000,30/360,0.000000,"(32,123.61)","890,258.33",VERIFIED,"3,694,992.62",NO_COMPOUND,3M,[NYC],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[NYC],FOLLOWING,SA
2412764,Buy,Swap,1755,1755_BOOK,EADSNV,BU_HQ,EADSNV,,"13,800,000",USD,"13,800,000",USD,29/10/2019,31/10/2019,25/08/2025,Fixed,Float,1.490000,,ACT/360,LIBOR,1M,USD/LIBOR/1M/LIBOR01,,ACT/360,0.000000,"(1,870.78)",234.61,VERIFIED,"32,495.53",NO_COMPOUND,,[NYC],FOLLOWING,QTR,Schedule,NO_COMPOUND,Bus,[NYC],FOLLOWING,MTH
2239297,Sell,Swap,1755,1755_BOOK,EADSNV,BU_HQ,EADSNV,,"8,000,000",USD,"8,000,000",USD,28/05/2019,30/05/2019,28/05/2025,Fixed,Float,2.100000,,ACT/360,LIBOR,3M,USD/LIBOR/3M/LIBOR01,,ACT/360,0.000000,(373.33),90.29,VERIFIED,"(95,823.76)",NO_COMPOUND,,"[MUC, TARGET]",MOD_FOLLOW,QTR,Schedule,NO_COMPOUND,Bus,"[MUC, TARGET]",MOD_FOLLOW,QTR
