Version	Date	Time	Author	Comment
711	14-Apr-2022	19:08	Philip Swannell	Bumped gMinimumMarketDataWorkbookVersion to 245.
710	08-Apr-2022	16:47	Philip Swannell	Upped minimum versions for the addins (2319 & 260)
709	07-Apr-2022	18:48	Philip Swannell	Added method CheckAddinVersion. Called (twice) from method RunThisAtTopOfCallStack.
708	07-Apr-2022	17:41	Philip Swannell	Method JuliaLaunchForCayley now ensures focus remains with Excel.
707	07-Apr-2022	17:26	Philip Swannell	Re-release.
706	07-Apr-2022	17:25	Philip Swannell	Fixed chart positioning (cont.).
705	07-Apr-2022	16:55	Philip Swannell	Fixed chart positioning (broken in release 702).
704	07-Apr-2022	16:05	Philip Swannell	Added defensive coding to method RunTable.
703	07-Apr-2022	15:47	Philip Swannell	MZTools etc.
702	07-Apr-2022	15:32	Philip Swannell	Previously the chart on the CreditUsage sheet could have one of two sizes, which the user could flip between by clicking on a button positioned at the top left of the chart. For reasons I have not investigated, this did not work on an Airbus PC ("Unable to get the Caption property of the Button class"). So to fix I removed the functionality to toggle the chart size
701	07-Apr-2022	15:03	Philip Swannell	Added method SyncBanksInCayleyWithBanksInLinesBook and call when opening lines book, at start of RunTable and at start of RunScenario. Should fix one of the errors seen by Camille.
700	07-Apr-2022	12:03	Philip Swannell	New menu item: Developer Tools > Show Version Info
699	06-Apr-2022	16:11	Philip Swannell	Upped minimum version number for the MarketDataWorkbook to 239.
698	06-Apr-2022	15:19	Philip Swannell	Bug fix to method ExportMarketData.
697	06-Apr-2022	12:57	Philip Swannell	Removed UseThreads setting from Config sheet, On windows the overhead of using threads seems to be high, decided not to investigate further.
696	06-Apr-2022	12:36	Philip Swannell	Fix to method PrintCharts - when pasting 48 charts to new workbook the charts were overlapping one another.
695	25-Mar-2022	11:03	Philip Swannell	Improvements to text printed to log file.
694	25-Mar-2022	10:21	Philip Swannell	Changes on (generally hidden) sheet WhoHasLines
693	24-Mar-2022	18:12	Philip Swannell	Added details to ToDo sheet of errors seen during testing today.
692	24-Mar-2022	17:31	Philip Swannell	Bug fix to AnchorDateFromMarketDataFile.
691	24-Mar-2022	17:22	Philip Swannell	When launching Julia, now do so in minimised window.
690	24-Mar-2022	17:15	Philip Swannell	Fixed possible type-mismatch in chart-export function. Improved formatting of worksheet ExportToTMS.
689	23-Mar-2022	19:12	Philip Swannell	Fix to method FeedRatesFromTextFile
688	23-Mar-2022	17:36	Philip Swannell	Change to Workbook_BeforeClose to not shut down Julia if SCRiPT2022.xlsm is open.
687	23-Mar-2022	16:49	Philip Swannell	Re-release
686	23-Mar-2022	15:54	Philip Swannell	Now call sRelativePath from SolumAddin.
685	23-Mar-2022	12:35	Philip Swannell	When opening Lines book and Market book, now add to MRU.
684	23-Mar-2022	09:41	Philip Swannell	More changes for UseThreads.
683	23-Mar-2022	09:28	Philip Swannell	Now pass UseThreads (from the Config sheet) to Julia for calculating PFE and for trade solving. Need to test if using threads is stable on Windows and whether a speedup arises.
682	22-Mar-2022	18:53	Philip Swannell	Fixed bug in Fx Solving for Notional-Based banks. The calculated shock was correct but the "Fx Root" i.e. the level to which EURUSD must fall to exhaust lines was wrong (was equal to spot rather than spot * shock).
681	22-Mar-2022	15:58	Philip Swannell	Corrected capitalisation changes that were causing many changes to appear in the Git log.
680	22-Mar-2022	15:46	Philip Swannell	Re-release.
679	22-Mar-2022	15:28	Philip Swannell	1) Code of ExportToTMS guards against trade files having changed since they were last loaded to the workbook - automatically reloads in that case.<LF>2) Changes to double-click handler for selecting banks. In this case first popping up a short list in a command bar, then popping up a long list in a form was clunky. We now skip straight to the form.
678	22-Mar-2022	14:40	Philip Swannell	Removed hidden sheet VBACodeCount
677	22-Mar-2022	14:35	Philip Swannell	Improved method ReleaseCleanup for sheet ExportToTMS.
676	22-Mar-2022	14:00	Philip Swannell	Removed calls to old methods TestInstallation and InstallPackages. These methods were for testing if R was installed correctly, so obvs. not needed any more.
675	22-Mar-2022	11:37	Philip Swannell	Updates to cell comments.
674	21-Mar-2022	18:42	Philip Swannell	Ran releasecleanup code and released again.
673	21-Mar-2022	18:37	Philip Swannell	Removed Module1. MZTools cleanups.
672	21-Mar-2022	18:25	Philip Swannell	Updates to ToDo worksheet.
671	21-Mar-2022	18:19	Philip Swannell	Beta version of code to export to TMS now complete.
670	21-Mar-2022	12:48	Philip Swannell	WIP: Code to Export to the Airbus Treasury Management System.
669	21-Mar-2022	09:59	Philip Swannell	Can now feed rates from the "Solum.out" file to the market data workbook from the menu on the CreditUsage sheet. Needed for "ExportToTMS".
668	18-Mar-2022	16:46	Philip Swannell	WIP: Code to Export to the Airbus Treasury Management System.
667	18-Mar-2022	15:18	Philip Swannell	Method ExportTable now exports csv file with ISO date formats.
666	18-Mar-2022	14:55	Philip Swannell	Release from desktop - investigating if "hangs" might be the result of anti-virus on my laptop.
665	18-Mar-2022	12:16	Philip Swannell	Improved formatting of trades as they are pasted into the Trades workbook.
664	18-Mar-2022	11:45	Philip Swannell	Accomodate new column Put/Call (aka Put Call) in Fx trade data. Turns out that my guess for how to infer whether trade was put or call was not correct and in fact it was not inferrable.
663	18-Mar-2022	08:22	Philip Swannell	Improvements to code that assigns F8 and ShiftF9 keystrokes - aim to avoid errors if a ProtectedView window is open.
662	17-Mar-2022	16:03	Philip Swannell	Better error message if user sets IncludeAssetClasses to Rates for a bank for which ProductCreditLimits is 'Calc and Limit By Product'.
661	17-Mar-2022	11:49	Philip Swannell	Workbook close event now closes the companion workbooks unless they have unsaved changes.
