Version	Date	Time	Author	Comment
253	24-Apr-2022	15:42	Philip Swannell	Deleted method IAmCompatibleWithCayleyForJulia.
252	23-Apr-2022	17:08	Philip Swannell	Removed two calls to DoEvents.
251	23-Apr-2022	17:04	Philip Swannell	More fixes to the fat-finger snafu.
250	23-Apr-2022	16:48	Philip Swannell	Arrgh. Release 241 had a "fat-finger" error where all capital `E`s in the VBA code were changed to lower case `e`s. That broke only "case-sensitive code" such as code to feed from Bloomberg. Corrected using data from CodeBackups folders.
249	23-Apr-2022	15:13	Philip Swannell	Less instrumentation in SaveDataFromMarketWorkbookToFile.
248	22-Apr-2022	16:00	Philip Swannell	StatusBarWrap --> MessageLogWrite.
247	20-Apr-2022	12:06	Philip Swannell	For USD, set FloatingLegType to IBOR.
246	19-Apr-2022	19:14	Philip Swannell	Removed text accidentally left on the worksheet USD.
245	14-Apr-2022	18:41	Philip Swannell	Changes for LiborTransition: JSON file written by SaveDataFromMarketWorkbookToFile contains new elements:<LF>1) SwapRates_CCY has new element FloatingLegType which is a vector whose elements are either "RFR" or "IBOR".<LF>2) XccyBasisSpreads_CCY similarly has two new elements FloatingLegType1 and FloatingLegType2.
244	14-Apr-2022	16:37	Philip Swannell	Reinstated VBProject password.
243	14-Apr-2022	15:10	Philip Swannell	Work around for the "All macros may be disabled" errors. See module modDisabledMacrosWorkAround.
242	14-Apr-2022	13:02	Philip Swannell	Reconstructed again - same"all macros may be disabled" error.
241	12-Apr-2022	13:56	Philip Swannell	Each sheet now has section "Libor Transition" containing one datum, namely FloatingLegType with allowed values of RFR and IBOR.
240	12-Apr-2022	11:44	Philip Swannell	Strange - had to copy all worksheets and modules to a fresh workbook to fix "all macros may be disabled" error. This is the second time I've had to do thisn and I haven't been able to figure out the cause.
239	06-Apr-2022	15:49	Philip Swannell	Improved method FeedRatesFromTextFile.
238	23-Mar-2022	18:01	Philip Swannell	Improved method ReleaseCleanup.
237	23-Mar-2022	17:17	Philip Swannell	Imported data from 20220228_solum.out.
236	23-Mar-2022	17:12	Philip Swannell	Files shown on Config can now have relative addresses.
235	23-Mar-2022	13:27	Philip Swannell	Changes to method BloombergTickerSwaptionVol to match the data received from Airbus.
