Version	Date	Time	Author	Comment
790	19-Apr-2022	19:26	Philip Swannell	Libor Transition: Libor -> IBOR, OIS -> RFR. But need changes on Julia side of the fence also.
789	24-Mar-2022	11:05	Philip Swannell	Tweaks to Workbook_BeforeClose.
788	24-Mar-2022	10:58	Philip Swannell	Tweaks to Workbook_BeforeClose.
787	24-Mar-2022	10:43	Philip Swannell	Tweaks to Workbook_BeforeClose.
786	23-Mar-2022	17:47	Philip Swannell	When closing workbook and if Cayley2022.xlsm is not open then Julia is shut down.
785	23-Mar-2022	16:39	Philip Swannell	Tweak to filtering on Portfolio sheet.
784	23-Mar-2022	16:35	Philip Swannell	Moved a copy of JuliaCreateSystemImage to this workbook.
783	23-Mar-2022	16:10	Philip Swannell	Like Cayley, the files on the Config sheet are now given relative to the location of this workbook.
782	23-Mar-2022	15:20	Philip Swannell	Stubbed-out calls to JuliaCreateSystemImage. Released as SCRiPT2022.xlsm
781	21-Feb-2022	09:22	Philip Swannell	Fixed type mismatch error that could occur when only one trade on the Portfolio sheet.
780	20-Dec-2021	12:19	Philip Swannell	Moved a few methods to SolumSCRiPTUtils so that they can be used from Cayley.
779	19-Dec-2021	17:00	Philip Swannell	More changes in method CreateSystemImage.
778	19-Dec-2021	09:51	Philip Swannell	Changes to method CreateSystemImage.
777	19-Dec-2021	09:44	Philip Swannell	Replaced global constant gUseLinux with a setting on the Config sheet.
776	10-Dec-2021	12:44	Philip Swannell	Fixed bug that was causing the model to be rebuild more frequently than necessary.
775	09-Dec-2021	09:31	Philip Swannell	Added FaceID to menu.
774	08-Dec-2021	18:39	Philip Swannell	Added to ToDo list.
773	08-Dec-2021	18:36	Philip Swannell	Changes for changes arg list to JuliaLaunch.
772	08-Dec-2021	10:49	Philip Swannell	Added menu items "Create System Image" and "Launch Julia without System Image. Both under "Develop Tools".
771	07-Dec-2021	17:55	Philip Swannell	Now use Julia running on WSL. System image creation works - need to hook it through to the menus.
770	03-Dec-2021	14:24	Philip Swannell	Started work on creating system image file, but work interrupted by the fact that xva_main segfaults. :(
