Version	Date	Time	Author	Comment
257	17-Mar-2022	12:00	Philip Swannell	Set default printer to XPS document writer. Hope to solve slow startup with "accessing printer" message.
256	17-Mar-2022	11:33	Philip Swannell	Removed reference to JuliaExcel
255	15-Mar-2022	12:08	Philip Swannell	Bug fix to previous change.
254	15-Mar-2022	10:29	Philip Swannell	Changed method JuliaCreateSystemImage to call Julia function Cayley.create_system_image
253	14-Mar-2022	09:30	Philip Swannell	Renamed function UseRegExp to FilterWillBeTreatedAsRegExp.
252	11-Mar-2022	13:00	Philip Swannell	GetTradesInJuliaFormat output 'Counterparty' field now populated from input 'Counterparty Parent' field.
251	11-Mar-2022	11:08	Philip Swannell	GetTradesInJuliaFormat now applies PortfolioAgeing to the start date of swaps.
250	09-Mar-2022	18:06	Philip Swannell	Comments only.
249	09-Mar-2022	18:00	Philip Swannell	Reform to headers expected in the input data to GetTradesInJuliaFormat
248	09-Mar-2022	16:13	Philip Swannell	Changed header on this Audit worksheet.
247	09-Mar-2022	16:04	Philip Swannell	Changes to GetTradesInJuliaFormat to support amortising swaps.
246	07-Mar-2022	17:54	Philip Swannell	No longer support 2017-style trade data. Hence dropped the 2022 from the end of function name GetTradesInJuliaFormat2022.
245	06-Mar-2022	19:02	Philip Swannell	More work on GetTradesInJuliaFormat2022. FXNDF (Airbus trade data) maps to FxForward for valuation.
244	04-Mar-2022	19:29	Philip Swannell	More work on GetTradesInJuliaFormat2022.
243	04-Mar-2022	17:46	Philip Swannell	More work on GetTradesInJuliaFormat2022.
242	04-Mar-2022	15:33	Philip Swannell	WIP GetTradesInJuliaFormat2022
241	04-Mar-2022	12:48	Philip Swannell	WIP GetTradesInJuliaFormat2022
240	03-Mar-2022	17:18	Philip Swannell	Amended GetColumn(s)FromTradesWorkbook to be compatible with 2022 style data.
239	03-Mar-2022	16:34	Philip Swannell	GetColumn(s)FromTradesWorkbook have fewer args now.
238	03-Mar-2022	10:55	Philip Swannell	Added new constants for Cayley2022
237	25-Jan-2022	17:49	Philip Swannell	AnchorDate no longer an argument to GetTradesInRFormat, not necessary since ModelName was already an argument.
236	25-Jan-2022	16:17	Philip Swannell	Added AnchorDate as an explicit argument to several functions. Will break Cayley2.0, so need to fix that.
235	25-Jan-2022	11:40	Philip Swannell	Improved method CheckLinesWorkbook to test for banks appearing more than once.
234	21-Jan-2022	14:57	Philip Swannell	Methods GetTradesInJuliaFormat and GetTradesInRFormat no longer print to the immediate window.
233	22-Dec-2021	19:51	Philip Swannell	Bug fix to GetTradesInJuliaFormat.
232	22-Dec-2021	16:26	Philip Swannell	Tweaks to JuliaCreateSystemImage.
231	20-Dec-2021	12:21	Philip Swannell	Tweaks to JuliaCreateSystemImage.
